equipo_ganador,equipo_primera_sangre,asesinatos_dif,asistencias_dif,nivel_dif,minions_dif,torretas_dif,dragones_dif,heraldos_dif
0,0,8,10,0.6000000000000005,-11,0,1,0
0,0,10,10,0.7999999999999998,-9,1,1,0
1,1,-1,1,-0.40000000000000036,-34,0,1,-1
1,1,-3,-10,-0.20000000000000018,23,0,0,-1
0,0,6,6,0.7999999999999998,2,0,1,1
0,0,3,0,0.7999999999999998,-9,0,-1,1
1,0,6,2,0.40000000000000036,1,0,1,0
0,1,0,4,-0.20000000000000018,-12,0,1,0
0,0,0,-3,0.0,7,0,1,1
1,0,-1,-8,0.0,-21,0,0,0
0,0,10,14,1.2000000000000002,79,1,1,-1
1,1,-1,3,0.20000000000000018,-49,0,-1,0
1,1,-3,-2,-0.7999999999999998,-8,0,1,0
1,1,-1,-5,-0.20000000000000018,-23,0,-1,1
0,0,5,6,0.20000000000000018,16,0,-1,0
1,1,-5,2,-0.6000000000000005,-28,0,-1,1
1,0,4,13,0.20000000000000018,-22,0,1,0
0,0,-3,0,-0.6000000000000005,-23,0,1,-1
0,0,0,-1,-0.20000000000000018,1,0,0,0
0,0,-2,0,0.0,55,1,0,-1
1,1,2,3,0.0,-32,0,1,0
1,1,-11,-20,-1.0,-76,0,-1,-1
0,0,-2,-1,0.0,15,0,1,0
0,0,4,10,0.1999999999999993,-21,0,1,0
0,1,-3,2,-0.7999999999999998,-13,0,-1,0
0,1,0,1,0.0,0,0,-1,0
0,0,3,8,0.39999999999999947,37,0,-1,1
1,1,-3,-2,-0.20000000000000018,-13,0,-1,0
1,1,-9,-10,-0.7999999999999998,-25,0,-1,0
0,1,-1,-4,0.40000000000000036,-29,0,1,0
0,1,3,-2,0.0,-24,0,-1,-1
0,0,3,7,0.0,-5,1,1,1
0,1,1,4,-0.20000000000000018,-60,0,0,-1
0,1,-1,-3,0.20000000000000018,0,0,-1,0
1,1,-7,-5,-1.0,-75,-1,1,0
1,1,5,9,0.0,27,0,-1,0
0,1,1,3,0.20000000000000018,-18,0,-1,0
1,0,3,2,0.1999999999999993,12,0,0,-1
1,0,3,5,-0.6000000000000005,-17,0,-1,0
1,0,-2,-3,-0.20000000000000018,5,-1,-1,-1
0,1,6,9,0.7999999999999998,-15,0,1,0
0,1,-1,-3,0.0,5,0,0,0
1,0,4,7,0.20000000000000018,-24,0,0,0
1,1,0,0,-0.20000000000000018,3,0,-1,0
0,1,5,7,0.20000000000000018,37,0,-1,0
0,0,5,4,0.6000000000000005,6,0,1,0
0,0,-3,-8,-0.7999999999999998,21,0,1,0
1,0,-2,0,-0.20000000000000018,-35,0,-1,0
0,1,-4,-7,-0.40000000000000036,-53,0,0,-1
0,0,1,3,-0.20000000000000018,-1,0,1,0
0,1,0,0,0.20000000000000018,36,0,0,0
0,0,10,13,0.6000000000000005,24,0,0,0
0,1,-2,-1,0.0,-49,0,-1,0
0,0,-1,-3,0.0,36,0,1,0
0,1,-6,-11,-0.7999999999999998,-29,0,-1,0
1,1,-5,-7,-0.20000000000000018,-53,0,-1,1
0,0,8,4,0.7999999999999998,82,0,0,0
1,1,-1,-1,-0.20000000000000018,8,1,-1,1
0,1,-3,-3,-0.20000000000000018,0,0,0,1
0,1,2,4,-0.20000000000000018,-3,0,1,0
1,0,-2,-3,-0.20000000000000018,-39,0,-1,0
0,0,-1,1,0.0,-3,0,-1,0
1,1,-5,-7,-0.20000000000000018,6,0,-1,0
0,1,1,-3,1.0,29,0,1,1
1,0,2,2,0.0,-4,0,-1,1
1,0,4,0,0.20000000000000018,-3,0,-1,1
0,0,3,3,0.20000000000000018,-1,0,1,0
1,0,1,2,0.0,-60,-1,0,1
1,0,1,3,-0.20000000000000018,-41,0,0,1
0,1,2,2,0.40000000000000036,15,0,-1,0
1,1,-8,-4,-0.6000000000000005,-48,0,-1,1
1,0,7,11,0.20000000000000018,-3,0,0,0
1,1,0,3,-0.20000000000000018,-51,0,1,-1
0,1,3,2,0.20000000000000018,-9,0,-1,1
1,1,-7,-11,-0.6000000000000005,-54,0,0,0
1,1,-3,-5,0.0,30,0,-1,-1
1,1,1,2,-0.40000000000000036,19,0,-1,-1
0,0,8,7,0.7999999999999998,-5,0,1,1
0,0,1,3,0.0,-9,0,0,0
0,0,1,0,0.0,10,0,1,1
0,0,3,2,0.5999999999999996,6,0,1,0
0,1,-6,-4,-0.20000000000000018,-32,0,-1,0
1,1,-2,1,-0.7999999999999998,-57,0,-1,0
0,0,2,2,0.0,4,0,-1,0
1,0,-4,-7,-0.40000000000000036,-13,-1,1,-1
1,1,-4,-2,-0.40000000000000036,-29,0,0,0
0,1,0,3,0.20000000000000018,38,0,0,1
0,1,-2,0,0.20000000000000018,9,2,-1,1
1,1,-4,-6,-0.6000000000000005,-14,0,-1,1
1,0,2,2,0.40000000000000036,24,0,0,0
0,0,1,-7,0.20000000000000018,28,0,-1,0
0,0,2,1,0.8000000000000007,18,0,1,0
0,0,11,15,1.4000000000000004,96,2,0,1
0,1,-1,6,0.20000000000000018,-37,0,1,0
